symbol,name,country,exchange,currency,ipo,share_outstanding,float_shares,market_cap
NMAX,"Newsmax, Inc.",United States,NYQ,USD,,89889822.0,30913511.0,1119549440.0
CTO,"CTO Realty Growth, Inc.",United States,NYQ,USD,,32372291.0,30947910.0,592254144.0
BOW,Bowhead Specialty Holdings Inc.,United States,NYQ,USD,,32782974.0,31051705.0,991622528.0
GRND,Grindr Inc.,United States,NYQ,USD,,184734121.0,31083363.0,2589778432.0
BBOT,"BridgeBio Oncology Therapeutics, Inc.",United States,NGM,USD,,79988687.0,31113999.0,986260544.0
ANIX,"Anixa Biosciences, Inc.",United States,NCM,USD,,32916915.0,31121956.0,105334136.0
NOTV,"Inotiv, Inc.",United States,NCM,USD,,34367251.0,31272136.0,20939968.0
ORMP,Oramed Pharmaceuticals Inc.,United States,NCM,USD,,39802455.0,31351598.0,117552288.0
BLBD,Blue Bird Corporation,United States,NGM,USD,,31714959.0,31365143.0,1609217152.0
MMLP,Martin Midstream Partners L.P.,United States,NMS,USD,,39055086.0,31538544.0,102324328.0
AUGO,Aura Minerals Inc.,United States,NMS,USD,,83534506.0,31550983.0,4515875328.0
ORKA,"Oruka Therapeutics, Inc.",United States,NGM,USD,,48409232.0,31574922.0,1534572672.0
TRS,TriMas Corporation,United States,NMS,USD,,40645671.0,31628429.0,1468934528.0
ENTX,Entera Bio Ltd.,Israel,NCM,USD,,45857242.0,31657547.0,78874456.0
EE,"Excelerate Energy, Inc.",United States,NYQ,USD,,32009581.0,31664198.0,3175762432.0
EXP,Eagle Materials Inc.,United States,NYQ,USD,,32063877.0,31665323.0,6973678592.0
PRI,"Primerica, Inc.",United States,NYQ,USD,,31916058.0,31729349.0,8428548608.0
SSII,"SS Innovations International, Inc.",India,NCM,USD,,193621149.0,31730634.0,1111385344.0
LII,Lennox International Inc.,United States,NYQ,USD,,35072782.0,31746479.0,17497511936.0
OPAD,Offerpad Solutions Inc.,United States,NYQ,USD,,36859946.0,31747103.0,47180728.0
ANDE,"The Andersons, Inc.",United States,NMS,USD,,33839123.0,31769502.0,1824785920.0
PSQH,"PSQ Holdings, Inc.",United States,NYQ,USD,,46492639.0,31786010.0,54179892.0
ZBIO,"Zenas BioPharma, Inc.",United States,NMS,USD,,53679166.0,31796317.0,2280827904.0
KLC,"KinderCare Learning Companies, Inc.",United States,NYQ,USD,,118318554.0,31802844.0,506403424.0
PATK,"Patrick Industries, Inc.",United States,NMS,USD,,33276096.0,31850881.0,3728875776.0
PSFE,Paysafe Limited,United Kingdom,NYQ,USD,,57462927.0,31863768.0,472539232.0
IRTC,"iRhythm Technologies, Inc.",United States,NMS,USD,,32219143.0,31902751.0,5689901056.0
